,City,Country,Latitude,Longitude,Temperature,Humidity,Cloud,Wind
0,port alfred,ZA,-33.59,26.89,69.78,24.0,0.0,13.73
1,castro,BR,-24.79,-50.01,49.62,94.0,0.0,4.09
2,dombas,NO,62.07,9.12,46.94,81.0,100.0,9.66
3,pemba,MZ,-12.97,40.52,69.42,83.0,20.0,13.87
4,kirakira,SB,-10.45,161.92,84.13,74.0,24.0,7.94
5,gubkinskiy,RU,64.43,76.5,73.45,54.0,38.0,17.09
6,rikitea,PF,-23.12,-134.97,72.84,80.0,100.0,16.15
7,hilo,US,19.73,-155.09,78.75,58.0,1.0,11.41
8,salinas,US,36.68,-121.66,65.59,68.0,1.0,12.75
9,half moon bay,US,37.46,-122.43,65.26,87.0,90.0,10.29
10,avarua,CK,-21.21,-159.78,75.2,57.0,23.0,4.7
11,busselton,AU,-33.65,115.33,50.92,84.0,11.0,3.0
12,tasiilaq,GL,65.61,-37.64,48.2,66.0,96.0,2.24
13,ushuaia,AR,-54.8,-68.3,39.2,60.0,100.0,4.7
14,punta arenas,CL,-53.15,-70.92,39.09,75.0,100.0,13.87
15,port macquarie,AU,-31.43,152.92,66.99,67.0,82.0,1.01
16,hobart,AU,-42.88,147.33,49.91,53.0,20.0,8.05
17,albany,US,42.6,-73.97,79.34,93.0,7.0,1.99
18,nanortalik,GL,60.14,-45.24,46.27,93.0,91.0,11.01
19,provideniya,RU,64.38,-173.3,53.6,58.0,40.0,11.18
20,ipswich,GB,52.06,1.16,56.08,93.0,100.0,6.93
21,barrow,US,71.29,-156.79,35.6,77.0,90.0,10.29
22,sobolevo,RU,54.43,31.9,50.65,87.0,12.0,3.74
23,luau,AO,-10.71,22.22,56.25,47.0,100.0,4.16
24,vaini,TO,-21.2,-175.2,77.0,83.0,75.0,13.87
25,clyde river,CA,70.47,-68.59,50.0,93.0,90.0,3.36
26,airai,TL,-8.93,125.41,72.84,52.0,28.0,3.58
27,griffith,US,41.53,-87.42,66.74,93.0,40.0,5.55
28,yellowknife,CA,62.46,-114.35,78.4,57.0,20.0,9.17
29,kapaa,US,22.08,-159.32,81.32,69.0,75.0,17.22
30,riberalta,BO,-10.98,-66.1,73.72,51.0,15.0,0.36
31,kysyl-syr,RU,63.9,122.76,75.02,34.0,2.0,4.32
32,hermanus,ZA,-34.42,19.23,50.0,95.0,0.0,10.96
33,puerto ayora,EC,-0.74,-90.35,68.0,93.0,50.0,1.01
34,bluff,NZ,-46.6,168.33,51.6,81.0,100.0,4.23
